Constructing ISIC2019LT Dataset with imbalance factor=500
Training with 4 GPUS, waiting until all processes join before starting training
Total # images:13556, labels:13556, number of classes
Total # images:3874, labels:3874, number of classes
Total # images:1939, labels:1939, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes

Epoch: [27/100] Iter [  18/  26] || Time: 5380.9090 sec || lr: 0.010000 || Loss: 1.1044
Epoch: [28/100] Iter [   2/  26] || Time: 5488.5313 sec || lr: 0.010000 || Loss: 1.0532
Epoch: [28/100] Iter [  12/  26] || Time: 5548.0057 sec || lr: 0.010000 || Loss: 1.1759
Epoch: [28/100] Iter [  22/  26] || Time: 5596.5284 sec || lr: 0.010000 || Loss: 1.0001
Epoch: [29/100] Iter [   6/  26] || Time: 5710.6782 sec || lr: 0.010000 || Loss: 0.9559
Epoch: [29/100] Iter [  16/  26] || Time: 5760.0490 sec || lr: 0.010000 || Loss: 0.9902
Epoch: [29/100] Iter [  26/  26] || Time: 5823.3372 sec || lr: 0.010000 || Loss: 1.0264
Epoch: [30/100] Iter [  10/  26] || Time: 5918.7738 sec || lr: 0.010000 || Loss: 0.8291
Epoch: [30/100] Iter [  20/  26] || Time: 5966.4650 sec || lr: 0.010000 || Loss: 0.9372
Epoch: [31/100] Iter [   4/  26] || Time: 6073.3289 sec || lr: 0.010000 || Loss: 1.0172
Epoch: [31/100] Iter [  14/  26] || Time: 6128.8780 sec || lr: 0.010000 || Loss: 0.9424
Epoch: [31/100] Iter [  24/  26] || Time: 6174.0355 sec || lr: 0.010000 || Loss: 0.9531
Epoch: [32/100] Iter [   8/  26] || Time: 6288.8264 sec || lr: 0.010000 || Loss: 0.9857
Epoch: [32/100] Iter [  18/  26] || Time: 6337.4617 sec || lr: 0.010000 || Loss: 0.9153
Epoch: [33/100] Iter [   2/  26] || Time: 6440.1443 sec || lr: 0.010000 || Loss: 0.9577
Epoch: [33/100] Iter [  12/  26] || Time: 6499.4246 sec || lr: 0.010000 || Loss: 0.9926
Epoch: [33/100] Iter [  22/  26] || Time: 6546.5383 sec || lr: 0.010000 || Loss: 0.9922
Epoch: [34/100] Iter [   6/  26] || Time: 6667.9923 sec || lr: 0.010000 || Loss: 0.9919
Epoch: [34/100] Iter [  16/  26] || Time: 6719.5990 sec || lr: 0.010000 || Loss: 0.9262
Epoch: [34/100] Iter [  26/  26] || Time: 6779.1624 sec || lr: 0.010000 || Loss: 0.9227
Epoch: [35/100] Iter [  10/  26] || Time: 6871.6710 sec || lr: 0.010000 || Loss: 0.9152
Epoch: [35/100] Iter [  20/  26] || Time: 6919.4318 sec || lr: 0.010000 || Loss: 0.8815
Epoch: [36/100] Iter [   4/  26] || Time: 7027.3877 sec || lr: 0.010000 || Loss: 0.9731
Epoch: [36/100] Iter [  14/  26] || Time: 7081.9255 sec || lr: 0.010000 || Loss: 0.9584
Epoch: [36/100] Iter [  24/  26] || Time: 7127.2897 sec || lr: 0.010000 || Loss: 0.9585
Epoch: [37/100] Iter [   8/  26] || Time: 7242.2424 sec || lr: 0.010000 || Loss: 0.8865
Epoch: [37/100] Iter [  18/  26] || Time: 7290.6764 sec || lr: 0.010000 || Loss: 0.9560
Epoch: [38/100] Iter [   2/  26] || Time: 7393.2455 sec || lr: 0.010000 || Loss: 0.8821
Epoch: [38/100] Iter [  12/  26] || Time: 7450.9819 sec || lr: 0.010000 || Loss: 1.0277
Epoch: [38/100] Iter [  22/  26] || Time: 7497.4413 sec || lr: 0.010000 || Loss: 0.9006
Epoch: [39/100] Iter [   6/  26] || Time: 7606.1443 sec || lr: 0.010000 || Loss: 0.9151
Epoch: [39/100] Iter [  16/  26] || Time: 7655.0238 sec || lr: 0.010000 || Loss: 0.8314
Epoch: [39/100] Iter [  26/  26] || Time: 7714.9892 sec || lr: 0.010000 || Loss: 0.8876
