Constructing ISIC2019LT Dataset with imbalance factor=500
Training with 4 GPUS, waiting until all processes join before starting training
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:3874, labels:3874, number of classes
Total # images:1939, labels:1939, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes

Epoch: [29/100] Iter [  16/  26] || Time: 5787.9751 sec || lr: 0.010000 || Loss: -115.3870
Epoch: [29/100] Iter [  26/  26] || Time: 5847.0897 sec || lr: 0.010000 || Loss: -115.5448
Epoch: [30/100] Iter [  10/  26] || Time: 5941.9959 sec || lr: 0.010000 || Loss: -115.3889
Epoch: [30/100] Iter [  20/  26] || Time: 5992.4318 sec || lr: 0.010000 || Loss: -115.4071
Epoch: [31/100] Iter [   4/  26] || Time: 6108.5350 sec || lr: 0.010000 || Loss: -115.3046
Epoch: [31/100] Iter [  14/  26] || Time: 6164.0780 sec || lr: 0.010000 || Loss: -114.9060
Epoch: [31/100] Iter [  24/  26] || Time: 6211.1913 sec || lr: 0.010000 || Loss: -115.4474
Epoch: [32/100] Iter [   8/  26] || Time: 6324.9711 sec || lr: 0.010000 || Loss: -115.6006
Epoch: [32/100] Iter [  18/  26] || Time: 6374.9486 sec || lr: 0.010000 || Loss: -115.1859
Epoch: [33/100] Iter [   2/  26] || Time: 6486.2177 sec || lr: 0.010000 || Loss: -115.5282
Epoch: [33/100] Iter [  12/  26] || Time: 6545.9738 sec || lr: 0.010000 || Loss: -115.4040
Epoch: [33/100] Iter [  22/  26] || Time: 6593.3866 sec || lr: 0.010000 || Loss: -115.2941
Epoch: [34/100] Iter [   6/  26] || Time: 6706.3493 sec || lr: 0.010000 || Loss: -115.0116
Epoch: [34/100] Iter [  16/  26] || Time: 6756.8998 sec || lr: 0.010000 || Loss: -115.3910
Epoch: [34/100] Iter [  26/  26] || Time: 6817.7801 sec || lr: 0.010000 || Loss: -115.1921
